Location,Indicator,Period,Dim1,First Tooltip
Germany,Concentrations of fine particulate matter (PM2.5),2016,Urban,11.94 [11.97-12.43]
Germany,Concentrations of fine particulate matter (PM2.5),2016,Rural,10.53 [10.32-10.91]
Ghana,Concentrations of fine particulate matter (PM2.5),2016,Total,31.95 [18.53-66.8]
Ghana,Concentrations of fine particulate matter (PM2.5),2016,Urban,31.07 [17.69-64.7]
Ghana,Concentrations of fine particulate matter (PM2.5),2016,Rural,34.01 [20.1-77.95]
Greece,Concentrations of fine particulate matter (PM2.5),2016,Total,15.69 [14.58-18.61]
Greece,Concentrations of fine particulate matter (PM2.5),2016,Urban,16.41 [15.37-19.02]
Greece,Concentrations of fine particulate matter (PM2.5),2016,Rural,13.46 [12.05-17.49]
Grenada,Concentrations of fine particulate matter (PM2.5),2016,Total,21.56 [10.68-43.76]
Grenada,Concentrations of fine particulate matter (PM2.5),2016,Urban,21.77 [10.72-44.44]
Grenada,Concentrations of fine particulate matter (PM2.5),2016,Rural,20.44 [10.32-41.3]
Guatemala,Concentrations of fine particulate matter (PM2.5),2016,Total,23.59 [17.8-30.87]
Guatemala,Concentrations of fine particulate matter (PM2.5),2016,Urban,24.23 [18.48-31.72]
Guatemala,Concentrations of fine particulate matter (PM2.5),2016,Rural,20.96 [14.61-30.41]
Guinea,Concentrations of fine particulate matter (PM2.5),2016,Total,22.43 [12.3-47.42]
Guinea,Concentrations of fine particulate matter (PM2.5),2016,Urban,22.24 [12.54-46.41]
Guinea,Concentrations of fine particulate matter (PM2.5),2016,Rural,22.65 [13.01-50.22]
Guinea-Bissau,Concentrations of fine particulate matter (PM2.5),2016,Total,27.12 [14.26-62.11]
Guinea-Bissau,Concentrations of fine particulate matter (PM2.5),2016,Urban,26.49 [13.09-67.86]
Guinea-Bissau,Concentrations of fine particulate matter (PM2.5),2016,Rural,27.59 [14.43-65.55]
Guyana,Concentrations of fine particulate matter (PM2.5),2016,Total,20.46 [9.29-43.63]
Guyana,Concentrations of fine particulate matter (PM2.5),2016,Urban,21.62 [9.16-47.18]
Guyana,Concentrations of fine particulate matter (PM2.5),2016,Rural,17.42 [8.24-37.44]
Haiti,Concentrations of fine particulate matter (PM2.5),2016,Total,14.63 [7.6-31.21]
Haiti,Concentrations of fine particulate matter (PM2.5),2016,Urban,14.72 [7.64-31.49]
Haiti,Concentrations of fine particulate matter (PM2.5),2016,Rural,13.3 [6.84-26.92]
Honduras,Concentrations of fine particulate matter (PM2.5),2016,Total,20.12 [14.64-28.86]
Honduras,Concentrations of fine particulate matter (PM2.5),2016,Urban,21.46 [15.17-32.28]
Honduras,Concentrations of fine particulate matter (PM2.5),2016,Rural,18.92 [14.25-25.96]
Hungary,Concentrations of fine particulate matter (PM2.5),2016,Total,15.62 [14.87-16.97]
Hungary,Concentrations of fine particulate matter (PM2.5),2016,Urban,16.27 [15.45-17.51]
Hungary,Concentrations of fine particulate matter (PM2.5),2016,Rural,14.38 [13.44-15.8]
Iceland,Concentrations of fine particulate matter (PM2.5),2016,Total,5.94 [5.78-7.58]
Iceland,Concentrations of fine particulate matter (PM2.5),2016,Urban,5.87 [5.26-6.93]
Iceland,Concentrations of fine particulate matter (PM2.5),2016,Rural,5.98 [5.91-8.11]
India,Concentrations of fine particulate matter (PM2.5),2016,Total,65.2 [78.61-96.56]
India,Concentrations of fine particulate matter (PM2.5),2016,Urban,67.98 [81.45-100.4]
India,Concentrations of fine particulate matter (PM2.5),2016,Rural,55.91 [65.94-80.43]
Indonesia,Concentrations of fine particulate matter (PM2.5),2016,Total,15.58 [13.54-20.16]
Indonesia,Concentrations of fine particulate matter (PM2.5),2016,Urban,16.44 [14.11-21.2]
Indonesia,Concentrations of fine particulate matter (PM2.5),2016,Rural,13.17 [10.62-18.91]
Iran (Islamic Republic of),Concentrations of fine particulate matter (PM2.5),2016,Total,35.09 [32.86-44.79]
Iran (Islamic Republic of),Concentrations of fine particulate matter (PM2.5),2016,Urban,34.39 [30.92-41.32]
Iran (Islamic Republic of),Concentrations of fine particulate matter (PM2.5),2016,Rural,35.62 [33-46.58]
Iraq,Concentrations of fine particulate matter (PM2.5),2016,Total,57.73 [42.24-87.6]
Iraq,Concentrations of fine particulate matter (PM2.5),2016,Urban,60.08 [44.08-91.88]
Iraq,Concentrations of fine particulate matter (PM2.5),2016,Rural,54.78 [38.9-87.16]
Ireland,Concentrations of fine particulate matter (PM2.5),2016,Total,8.26 [7.76-8.97]
Ireland,Concentrations of fine particulate matter (PM2.5),2016,Urban,8.67 [8.14-9.29]
Ireland,Concentrations of fine particulate matter (PM2.5),2016,Rural,7.61 [6.88-8.53]
Israel,Concentrations of fine particulate matter (PM2.5),2016,Total,19.46 [18.18-20.32]
Israel,Concentrations of fine particulate matter (PM2.5),2016,Urban,19.35 [18.13-20.11]
Israel,Concentrations of fine particulate matter (PM2.5),2016,Rural,21.11 [16.84-26.7]
Italy,Concentrations of fine particulate matter (PM2.5),2016,Total,15.28 [16.01-16.56]
Italy,Concentrations of fine particulate matter (PM2.5),2016,Urban,15.73 [16.46-17.03]
Italy,Concentrations of fine particulate matter (PM2.5),2016,Rural,11.09 [11.66-12.32]
Jamaica,Concentrations of fine particulate matter (PM2.5),2016,Total,13.25 [10.73-17.18]
Jamaica,Concentrations of fine particulate matter (PM2.5),2016,Urban,13.65 [11.17-17.58]
Jamaica,Concentrations of fine particulate matter (PM2.5),2016,Rural,12.5 [9.69-16.21]
